id,ticket_created,issue_type,method,issue,city,state,zip
8958678,2026-08-01 17:44:08+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Farmington hills,MI,48335.0
8958677,2026-08-01 17:44:07+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Hampshire,IL,60140.0
8958674,2026-08-01 17:43:10+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Brooklyn,NY,11215.0
8958669,2026-08-01 17:37:07+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Myrtle beach,SC,29579.0
8958666,2026-08-01 17:35:28+00:00,Phone,Internet (VOIP),Availability (including rural call completion),San diego,CA,92101.0
8958664,2026-08-01 17:35:17+00:00,Internet,Wireless,Equipment,Rancho mirage,CA,92270.0
8958661,2026-08-01 17:34:48+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Auburn,WA,98002.0
8958659,2026-08-01 17:33:55+00:00,Internet,Cable,Billing,Macomb,MI,48044.0
8958657,2026-08-01 17:32:36+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Leander,TX,78641.0
8958655,2026-08-01 17:30:40+00:00,Phone,Wired,Availability (including rural call completion),Robbinsville,NC,28771.0
8958652,2026-08-01 17:27:53+00:00,Phone,Wireless (cell phone/other mobile device),Privacy,Hendersonville,TN,37075.0
8958649,2026-08-01 17:26:51+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,New york,NY,10030.0
8958647,2026-08-01 17:24:04+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Bend,OR,97703.0
8958645,2026-08-01 17:23:36+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Durham,NC,27705.0
8958643,2026-08-01 17:23:24+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Aurora,OR,97002.0
8958642,2026-08-01 17:23:15+00:00,Phone,Wireless (cell phone/other mobile device),Cramming (unauthorized charges on your phone bill),Deerfield,IL,60015.0
8958634,2026-08-01 17:20:51+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,East greenbush,NY,12061.0
8958633,2026-08-01 17:19:32+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Berlin,CT,6037.0
8958631,2026-08-01 17:17:47+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Paterson,NJ,7513.0
8958630,2026-08-01 17:16:22+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Henderson,NC,27536.0
8958627,2026-08-01 17:13:45+00:00,Internet,Wireless,Speed,Mckinney,TX,75069.0
8958626,2026-08-01 17:13:32+00:00,TV,Cable,Availability,Marion,IN,46952.0
8958624,2026-08-01 17:08:43+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Houston,TX,77030.0
8958623,2026-08-01 17:08:32+00:00,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Noble,IL,62868.0
8958618,2026-08-01 17:06:04+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Aurora,OR,97002.0
8958616,2026-08-01 17:03:23+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Groton,CT,6340.0
8958615,2026-08-01 17:03:06+00:00,Internet,Fiber,Availability,Sarasota,FL,34242.0
8958612,2026-08-01 17:02:15+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Paterson,NJ,7513.0
8958611,2026-08-01 17:01:43+00:00,Phone,Wired,Unwanted Calls,Vienna,VA,22181.0
8958604,2026-08-01 16:57:34+00:00,Phone,Wireless (cell phone/other mobile device),Billing,San angelo,TX,76903.0
8958603,2026-08-01 16:57:12+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Toledo,OH,43611.0
8958601,2026-08-01 16:57:01+00:00,Phone,Wired,Unwanted Calls,Acton,MA,1720.0
8958600,2026-08-01 16:56:47+00:00,Phone,Wireless (cell phone/other mobile device),Interference (including signal jammers),Savannah,GA,31401.0
8958595,2026-08-01 16:54:58+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Fort worth,TX,76244.0
8958592,2026-08-01 16:54:42+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,San diego,CA,92108.0
8958591,2026-08-01 16:54:35+00:00,Internet,Cable,Billing,Jonesboro,GA,30238.0
8958589,2026-08-01 16:53:51+00:00,Phone,Wireless (cell phone/other mobile device),Interference (including signal jammers),Charlotte,NC,28214.0
8958585,2026-08-01 16:50:43+00:00,Internet,Wireless,Equipment,Los angeles,CA,90019.0
